Id;Label;rank;Cluster;kingdom;phylum;class;order;family
115473548;Cellvibrionales;ORDER;47;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;
1162125;Agriotes;GENUS;12;Animalia;Arthropoda;Insecta;Coleoptera;Elateridae
1169;Asparagales;ORDER;1;Plantae;Tracheophyta;Liliopsida;Asparagales;
1176;Solanales;ORDER;1;Plantae;Tracheophyta;Magnoliopsida;Solanales;
1181282;Sitona lineatus;SPECIES;12;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae
1194803;Otiorhynchus;GENUS;7;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae
1195102;Otiorhynchus armadillo;SPECIES;13;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae
119676800;Candidatus Nephrothrix;GENUS;47;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae
119681548;Roseiarcaceae;FAMILY;47;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Roseiarcaceae
1197;Acidobacteriales;ORDER;47;Bacteria;Acidobacteria;;Acidobacteriales;
119722261;Nakamurellales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Nakamurellales;
119722320;Acidothermales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Acidothermales;
119722321;Geodermatophilales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Geodermatophilales;
119788004;Candidatus Nitrosocosmicus;GENUS;45;Bacteria;Thaumarchaeota;Nitrosphaeria;Nitrosphaerales;Nitrosphaeraceae
1198;Actinomycetales;ORDER;47;Bacteria;Actinobacteria;;Actinomycetales;
1198599;Barynotus;GENUS;13;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae
1198632;Barynotus moerens;SPECIES;13;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae
1198651;Barynotus obscurus;SPECIES;13;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae
1201;Rubrobacterales;ORDER;47;Bacteria;Actinobacteria;;Rubrobacterales;
1202;Sphaerobacterales;ORDER;47;Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;
1203;Bacteroidales;ORDER;47;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
1204;Sphingobacteriales;ORDER;47;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;
1205;Caldilineales;ORDER;47;Bacteria;Chloroflexi;Caldilineae;Caldilineales;
1206;Chloroflexales;ORDER;47;Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;
120786288;Acidiferrobacteraceae;FAMILY;45;Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae
120868022;Cellvibrionaceae;FAMILY;47;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae
1210;Fibrobacterales;ORDER;47;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;
1211;Clostridiales;ORDER;47;Bacteria;Firmicutes;Clostridia;Clostridiales;
1214;Fusobacteriales;ORDER;47;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;
1216;Gemmatimonadales;ORDER;47;Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;
1218;Planctomycetales;ORDER;47;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;
1219;Caulobacterales;ORDER;47;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;
1221;Rhizobiales;ORDER;45;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;
1222;Rhodobacterales;ORDER;47;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;
1223;Rhodospirillales;ORDER;47;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;
1234;Bdelloidea;ORDER;42;Animalia;Rotifera;Eurotatoria;Bdelloidea;
1235;Ploima;ORDER;29;Animalia;Rotifera;Eurotatoria;Ploima;
1247;Polydesmida;ORDER;13;Animalia;Arthropoda;Diplopoda;Polydesmida;
1247492;Notiophilus;GENUS;39;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae
126025837;Hymenobacteraceae;FAMILY;47;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae
126032161;Zoopagomycota;PHYLUM;31;Fungi;Zoopagomycota;;;
126032175;Mucoromycota;KINGDOM;31;Fungi;Mucoromycota;;;
126035350;Crocinitomicaceae;FAMILY;47;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae
126037304;Isosphaeraceae;FAMILY;45;Bacteria;Planctomycetes;Planctomycetia;Planctomycetiales;Isosphaeraceae
126043370;Microthrixaceae;FAMILY;45;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Microthrixaceae
126060013;Rhodanobacteraceae;FAMILY;47;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae
126060060;Nevskiales;ORDER;47;Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;
126061978;Tepidisphaerales;ORDER;47;Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;
126067447;Chthoniobacteraceae;FAMILY;47;Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae
126070447;Chthoniobacterales;ORDER;47;Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;
126080982;Tepidisphaeraceae;FAMILY;47;Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae
126091324;Chitinophagales;ORDER;45;Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;
1261;Acrospermales;ORDER;31;Fungi;Ascomycota;Dothideomycetes;Acrospermales;
1262;Capnodiales;ORDER;31;Fungi;Ascomycota;Dothideomycetes;Capnodiales;
1268;Pyxidiophorales;ORDER;31;Fungi;Ascomycota;Laboulbeniomycetes;Pyxidiophorales;
1277;Erysiphales;ORDER;31;Fungi;Ascomycota;Leotiomycetes;Erysiphales;
