"";"retained_tax";"class";"codeFW"
"438";"Vampyrellidae";19;"Pred2attach::Protist"
"439";"Vaucheriaceae";15;"Phototroph::Algae"
"440";"Veigaiidae";1;"Pred3::Mesostigmata"
"441";"Verrucomicrobia subdivision 3";5;"Decomposers::Bacterie"
"442";"Verrucomicrobiaceae";5;"Decomposers::Bacterie"
"443";"Vexilliferidae";4;"Pred1free::Protist"
"444";"Viridiraptoridae";21;"Algivorous::Protist"
"445";"Vorticellidae";4;"Pred1free::Protist"
"446";"Vulgatibacteraceae";5;"Decomposers::Bacterie"
"447";"Xanthobacteraceae";5;"Decomposers::Bacterie"
"448";"Xanthomonadaceae";5;"Opportunists::Bacterie"
"449";"Xanthonemataceae";15;"Phototroph::Algae"
"450";"Zoothamniidae";4;"Pred1free::Protist"
