retained_tax;class
uncultured Sphingosinicella sp.;7
uncultured Sporichthya sp.;7
uncultured Stella sp.;7
uncultured Sterolibacterium sp.;7
uncultured Streptomyces sp.;7
uncultured Syntrophobacter sp.;7
uncultured Syntrophus sp.;7
uncultured Terriglobus sp.;7
uncultured Terrimonas sp.;7
uncultured Thermoleophilum sp.;7
uncultured Thermomonas sp.;7
uncultured Thiobacillus sp.;7
uncultured Thiohalospira sp.;7
uncultured Xanthomonas sp.;7
uncultured Zavarzinella sp.;7
Acinetobacter;8
Actinoplanes sp. IR51-RC111;8
Aeromicrobium sp. RODSPM17;8
Aggregicoccus edonensis;8
Agromyces;8
Altererythrobacter;8
Altererythrobacter buctense;8
Altererythrobacter sp. 100921-2;8
Amycolatopsis tolypomycina;8
Anaeromyxobacter;8
Aquihabitans daechungensis;8
Arenimonas sp. HMF3017;8
Bdellovibrio;8
Blastococcus;8
Bradyrhizobium;8
Bradyrhizobium sp. Shinshu-th2;8
Caenimonas sp. TSX9-5;8
Candidatus Nitrosocosmicus;8
Candidatus Nitrososphaera gargensis;8
Candidatus Solibacter;8
Caulobacter;8
Caulobacter profundus;8
Cellvibrio;8
Cenarchaeum symbiosum;8
Chitinophaga sp. BN130233;8
Chryseobacterium;8
Chthoniobacter flavus;8
Dechloromonas;8
Devosia;8
Devosia sp. P-37;8
Emticicia sp. KJ033;8
Fibrella sp.;8
Flavobacterium sp. BF134;8
Gemmatimonas;8
Geobacter sp. enrichment culture clone VanCtr1;8
Geodermatophilus;8
Georgfuchsia toluolica;8
Janibacter;8
Kineosporia;8
Leifsonia;8
Luedemannella sp. 119-1-07;8
Luteimonas aestuarii;8
Lysobacter sp. MS6Y-8-7;8
Lysobacter sp. YS-37;8
Marmoricola;8
Mesorhizobium;8
Methanomassiliicoccus sp. 138;8
Methanomassiliicoccus sp. 142;8
Methylobacterium;8
Methylosinus trichosporium;8
Microbacterium;8
Microvirga;8
Mucilaginibacter;8
Mucilaginibacter sp. UA-VH0703;8
Mycobacterium;8
Niastella;8
Nocardia;8
Nocardioides sp. MSL 24;8
Nocardioides sp. RW28;8
Nocardioides sp. SSRB28-7;8
Nonomuraea;8
Opitutus;8
Oryzihumus;8
Paenibacillus;8
Pedomicrobium;8
Pedosphaera parvula;8
Perlucidibaca;8
Phenylobacterium;8
Phenylobacterium sp. URHA0004;8
Phenylobacterium sp. enrichment culture clone LplF-80;8
Phycisphaera mikurensis;8
Pirellula staleyi;8
Pontibacter;8
Pseudomonas;8
Ralstonia solanacearum;8
Rathayibacter;8
Rhizobium;8
Rhodoferax;8
Rhodomicrobium;8
Rhodoplanes sp. Z2-YC6860;8
Roseiarcus fermentans;8
Rudaea sp. URHD0100;8
Sanguibacter;8
Sphingobacterium;8
Sphingobacterium sp. P-7;8
Sphingomonas;8
Sphingomonas fennica;8
Sphingomonas sp. LP105;8
Sphingomonas sp. NCCP-1295;8
Sphingomonas sp. THG-DN7.10;8
Staphylococcus;8
Stenotrophomonas;8
Steroidobacter;8
Stigmatella;8
Streptomyces;8
Variibacter gotjawalensis;8
uncultured Acidisphaera sp.;8
uncultured Aciditerrimonas sp.;8
uncultured Acidovorax sp.;8
uncultured Actinoallomurus sp.;8
uncultured Actinomyces sp.;8
uncultured Anaeromyxobacter sp.;8
uncultured Bacillus sp.;8
uncultured Bdellovibrio sp.;8
uncultured Bellilinea sp.;8
uncultured Burkholderia sp.;8
uncultured Byssovorax sp.;8
uncultured Candidatus Nephrothrix sp.;8
uncultured Candidatus Nitrosopumilus sp.;8
uncultured Caulobacter sp.;8
uncultured Chondromyces sp.;8
uncultured Conexibacter sp.;8
uncultured Cupriavidus sp.;8
uncultured Curvibacter sp.;8
uncultured Demequina sp.;8
uncultured Dokdonella sp.;8
uncultured Erythrobacter sp.;8
uncultured Ferrithrix sp.;8
uncultured Ferruginibacter sp.;8
uncultured Flexibacter sp.;8
uncultured Geoalkalibacter sp.;8
uncultured Georgfuchsia sp.;8
uncultured Geothermobacter sp.;8
uncultured Haliangium sp.;8
uncultured Haliscomenobacter sp.;8
uncultured Iamia sp.;8
uncultured Kineosporia sp.;8
uncultured Lentzea sp.;8
uncultured Massilia sp.;8
uncultured Mesorhizobium sp.;8
uncultured Methylobacillus sp.;8
uncultured Methylocella sp.;8
uncultured Methylosinus sp.;8
uncultured Micromonospora sp.;8
uncultured Nannocystis sp.;8
uncultured Nitrososphaera sp.;8
uncultured Nocardioides sp.;8
