;consumer_gbif_key;consumer_rank;consumer_name;interaction_type;resource_name;resource_gbif_key;resource_rank;reference;remark
155;7687728;SPECIES;Oxytricha opisthomuscorum;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
156;8311950;SPECIES;Oxytricha ottowi;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
157;8111179;SPECIES;Oxytricha setigera;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
158;7551954;SPECIES;Paraholosticha muscicola;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
159;7454029;SPECIES;Parakahliella haideri;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
160;7621887;SPECIES;Paramphisiella caudata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
161;7505865;SPECIES;Paraurostyla granulifera;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
162;8038938;SPECIES;Pattersoniella vitiphila;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
163;7376082;SPECIES;Pelagotrichidium tisiae;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
164;8144973;SPECIES;Plagiocampa caudata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
165;7510368;SPECIES;Plagiocampa difficilis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
166;7637408;SPECIES;Platyophrya similis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
167;8058651;SPECIES;Platyophrya spumacola;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
168;8072867;SPECIES;Platyophrya vorax;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
169;7773649;SPECIES;Pleuroplites australis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
170;8322605;SPECIES;Protospathidium muscicola;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
171;7538897;SPECIES;Pseudouroleptus procerus;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
172;7776664;SPECIES;Rhopalophrya elegans;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
173;6147376;SPECIES;Spathidium scalpriforme;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
174;7426047;SPECIES;Steinia platystoma;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
175;7815322;SPECIES;Sterkiella histriomuscorum;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
176;8412563;SPECIES;Sterkiella thompsoni;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
177;7894445;SPECIES;Stylonychia pustulata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
178;8316594;SPECIES;Stylonychia stylomuscorum;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
179;7560112;SPECIES;Tachysoma granulifera;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
